,hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
122,Hiromas Hostel in Akiba,Tokyo,2700,7.3km from city centre,9.2,Superb,8.7,9.6,9.2,9.1,9.1,9.4,9.6,139.7702062,35.704546
123,Hiromas Hostel in Kanda,Tokyo,2000,7.6km from city centre,9.3,Superb,8.4,9.8,9.5,9.1,9.2,9.4,9.3,139.7763124,35.6928219
124,Hiromas Inn  Chitose-Karasuyama,Tokyo,3000,0km from city centre,7.5,Very Good,7.1,9.1,7.4,7.4,6.3,6.9,8.3,139.6033214,35.6711619
125,Hiroshima Hana Hostel,Hiroshima,2300,2.4km from city centre,9,Superb,8.1,9.3,8.8,9.4,8.9,9.5,9,132.478765,34.395097
126,Hiroshima Hostel EN,Hiroshima,3000,2.6km from city centre,9.6,Superb,9.8,9.7,9.3,9.3,9.3,9.8,9.7,132.450789,34.408
127,Hisayo's Inn,Tokyo,3800,15.7km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,Home Hostel Osaka,Osaka,2700,6.2km from city centre,9.7,Superb,8.7,9.9,10,9.7,9.9,9.7,9.7,NA,NA
129,Homeikan,Tokyo,3600,6.3km from city centre,9.3,Superb,9.1,9.4,9.1,9.1,9.1,10,9.1,139.75625,35.711231
130,Hop Step Inn,Tokyo,1500,8.5km from city centre,9.1,Superb,8.5,9.6,9.3,8.3,9.6,9.4,9.2,139.7382791,35.7560182
131,Hostel & Cafe Bar Backpackers Miyajima,Hiroshima,2900,16.1km from city centre,9.2,Superb,9.2,9.3,9,9.2,9.1,9.6,8.9,132.3046213,34.3101872
132,Hostel 64 Osaka,Osaka,2700,3.4km from city centre,8.6,Fabulous,8.2,8.6,8.2,8.1,9.1,9,8.6,135.4883418,34.6780282
133,Hostel bedgasm,Tokyo,2900,9.5km from city centre,9.6,Superb,9.6,9.8,9.6,9.1,9.5,9.9,9.7,139.789033,35.72135
134,Hostel Bushi,Osaka,1900,3.4km from city centre,8.8,Fabulous,8.5,8.8,8.9,8.6,8.8,9.2,8.9,135.5374497,34.6979324
135,Hostel Chapter Two Tokyo,Tokyo,2700,9.8km from city centre,10,Superb,10,10,10,10,10,10,10,139.797217,35.709305
136,Hostel Chillout,Osaka,2300,4.3km from city centre,9.6,Superb,9.4,9.4,9.1,10,9.4,10,9.7,NA,NA
137,hostel DEN,Tokyo,2400,7.7km from city centre,9.4,Superb,9.1,9.7,9.3,9,9.7,9.7,9.4,139.7766966,35.6910315
138,Hostel Ebi,Kyoto,2500,1km from city centre,9.7,Superb,9.4,9.9,9.5,9.8,9.7,9.8,9.6,135.760511,35.0050582
139,Hostel Ebisutei Souzou with Sake Bar,Osaka,2400,5.6km from city centre,9.2,Superb,9.7,9,9,9.5,8.3,9.6,9.4,135.5052993,34.6560531
140,Hostel Enisia Namba,Osaka,3000,4.3km from city centre,9.3,Superb,8.7,9.2,9.3,10,9.5,9.3,9.2,135.503292,34.6681
141,Hostel Ginkakuji,Kyoto,1300,2.7km from city centre,4.9,Rating,2,10,6,6,2,2,6,135.791229,35.027017
142,Hostel HARUYA Book,Kyoto,1500,3.1km from city centre,8.6,Fabulous,7.6,8.4,7.6,8,9.6,10,9.2,NA,NA
143,Hostel HARUYA Kyoto,Kyoto,1500,1km from city centre,9.6,Superb,8,10,10,10,10,10,9,135.778964,35.008755
144,HOSTEL HYAKU,Osaka,2700,4.4km from city centre,9.5,Superb,8.9,10,9.4,9.3,9.7,9.7,9.5,135.5109784,34.6676664
145,Hostel J Culture 168,Osaka,3000,5.3km from city centre,7.5,Very Good,6.7,7.3,8.7,7.3,8,9.3,5.3,138.252924,36.204824
146,Hostel Jin,Osaka,2500,4.3km from city centre,9.6,Superb,8.8,10,9.8,8.8,9.8,9.8,10,135.4661493,34.6810161
147,Hostel Kyoto Kizuna,Kyoto,1800,2.1km from city centre,9.4,Superb,8.6,9.9,9.5,9.2,9.6,9.6,9.6,135.7626527,34.9936138
148,Hostel LnK (Lodging & Kin),Osaka,3300,5.6km from city centre,9.5,Superb,9.2,10,9.3,9.5,9.3,9.5,9.5,135.502521,34.656382
149,Hostel Mallika,Hiroshima,2500,0.7km from city centre,9.3,Superb,8.5,9.5,9.2,9.7,9.4,9.6,9.3,132.4499424,34.389848
150,Hostel Mitsuwaya Osaka,Osaka,3200,4.1km from city centre,9.6,Superb,9.4,10,9.7,9.1,9.7,9.9,9.6,135.513379,34.670596
151,Hostel moku-moku,Osaka,3500,4km from city centre,9.6,Superb,9,10,10,9.5,10,9.5,9.5,135.516458,34.74071
152,Hostel Mundo,Kyoto,1400,2.1km from city centre,8.4,Fabulous,8,8.6,8,8,8.7,8.9,8.8,135.7479461,35.0204264
153,Hostel Mundo Chiquito,Kyoto,1400,1.4km from city centre,9.5,Superb,9,9.8,9.3,9,9.8,10,9.8,135.753339,35.015514
154,Hostel Namba Takumi,Osaka,2000,4.6km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,Hostel Pumpkey Tokyo,Tokyo,3400,2.3km from city centre,8.7,Fabulous,8.3,9,8.5,9,8.7,9,8.3,139.716957,35.686319
156,Hostel Q,Osaka,2900,4.2km from city centre,8.7,Fabulous,9,7.3,8,9.7,9,9.3,8.3,135.4986093,34.6692633
157,Hostel Rakutsuki,Osaka,1900,4.7km from city centre,9.5,Superb,9.3,9.5,8.7,9.8,9.8,9.8,9.8,135.5062517,34.6647159
158,Hostel Stand By Me,Fukuoka-City,4000,1.6km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,Hostel Teltel Bouzu,Osaka,2500,3.8km from city centre,9,Superb,9,9,9,8.3,9.3,9.3,9,135.5091721,34.6734621
160,Hostel TOKI,Fukuoka-City,2800,1.9km from city centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,Hostel WAQWAQ Tokyo Ueno Asakusa,Tokyo,1600,9km from city centre,8.9,Fabulous,8.9,9.6,9,8.4,8.5,9,8.7,139.785178,35.717633
162,HOSTEL WASABI Kyoto Machiya Soba,Kyoto,2000,2.3km from city centre,9.1,Superb,8.9,9.8,9.1,7.9,9,9.2,9.4,135.7481084,35.0249099
163,HOSTEL WASABI Osaka Bed with Library,Osaka,1500,4.5km from city centre,8.8,Fabulous,8.1,9.1,8.7,9.5,8.2,9.2,9,135.503826,34.666552
164,Hostel＆Café East57 Asakusabashi,Tokyo,2200,8.7km from city centre,8.7,Fabulous,7.8,9.3,7.8,9.1,9,9.1,8.6,139.7876509,35.6967579
165,Hotel Cargo Shinsaibashi,Osaka,4200,3.2km from city centre,9.3,Superb,8.4,9.6,8.8,8.8,9.6,10,9.6,135.503563,34.678242
166,Hotel Chuo,Osaka,1500,6.4km from city centre,6.4,Good,6,6,6,8,5,7,7,135.5046082,34.6490104
