ResourceType      Locations           Name                    Zones    Restrictions
----------------  ------------------  ----------------------  -------  --------------
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            StandardSSD_LRS                  None
disks             eastasia            UltraSSD_LRS                     None
disks             brazilsouth         Standard_LRS            1,2,3    None
disks             brazilsouth         Standard_LRS            1,2,3    None
disks             brazilsouth         Standard_LRS            1,2,3    None
disks             brazilsouth         Standard_LRS            1,2,3    None
disks             brazilsouth         Standard_LRS            1,2,3    None
disks             brazilsouth         Standard_LRS            1,2,3    None
disks             brazilsouth         Standard_LRS            1,2,3    None
disks             brazilsouth         Standard_LRS            1,2,3    None
disks             brazilsouth         Standard_LRS            1,2,3    None
disks             brazilsouth         Standard_LRS            1,2,3    None
disks             brazilsouth         Standard_LRS            1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         Premium_LRS             1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         StandardSSD_LRS         1,2,3    None
disks             brazilsouth         UltraSSD_LRS            2        None
disks             westus2             Standard_LRS            1,2,3    None
disks             westus2             Standard_LRS            1,2,3    None
disks             westus2             Standard_LRS            1,2,3    None
disks             westus2             Standard_LRS            1,2,3    None
disks             westus2             Standard_LRS            1,2,3    None
disks             westus2             Standard_LRS            1,2,3    None
disks             westus2             Standard_LRS            1,2,3    None
disks             westus2             Standard_LRS            1,2,3    None
disks             westus2             Standard_LRS            1,2,3    None
disks             westus2             Standard_LRS            1,2,3    None
disks             westus2             Standard_LRS            1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             Premium_LRS             1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             StandardSSD_LRS         1,2,3    None
disks             westus2             UltraSSD_LRS            1,2,3    None
disks             westcentralus       Standard_LRS                     None
disks             westcentralus       Standard_LRS                     None
disks             westcentralus       Standard_LRS                     None
disks             westcentralus       Standard_LRS                     None
disks             westcentralus       Standard_LRS                     None
disks             westcentralus       Standard_LRS                     None
disks             westcentralus       Standard_LRS                     None
disks             westcentralus       Standard_LRS                     None
disks             westcentralus       Standard_LRS                     None
disks             westcentralus       Standard_LRS                     None
disks             westcentralus       Standard_LRS                     None
